2 h · 10 seeds · 2 Pstations · 2 Rstations · 100 SKUs · 100 backlog · 100 pods / 120 cells · cap 100 · 70% stock
policy,bots,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
m4g_6b,6b,1419.9,946.1,599.1,5.338,112.3,0.1875,9.37,1.190,830.8,1.45
m4g_legacy_6b,6b,1407.8,939.5,589.7,4.414,133.6,0.2266,11.17,1.429,858.9,2.32
m4g_10b,10b,1428.7,952.2,603.5,5.118,118.0,0.1956,10.35,1.317,787.8,0.86
m4g_legacy_10b,10b,1428.1,959.2,602.5,2.939,205.1,0.3405,15.69,2.039,736.2,0.91

paired m4g_6b vs m4g_legacy_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.86,+0.70,+1.59,+20.91,−15.94,−17.24,−16.10,−16.77,−3.27,−37.25
p,.005,.085,.006,< .001,< .001,< .001,< .001,< .001,.092,.004
sig,**,,**,***,***,***,***,***,,**

paired m4g_10b vs m4g_legacy_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.04,−0.73,+0.17,+74.11,−42.47,−42.56,−34.02,−35.41,+7.01,−6.01
p,.239,.048,.665,< .001,< .001,< .001,< .001,< .001,.051,.107
sig,,*,,***,***,***,***,***,,

excel cross-check: {"status": "passed", "checks": 120, "rel_tol": 1e-09}
