#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/11;0/0,1/0;0/11,1/11;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;1;0;2;2;0/35.96,1/52.84;0/32.27,1/35.51;0/60,1/60;0/60,1/60;0/0,1/9;0/0,1/0;0/1,1/15;0/9,1/9;0/3,1/2;0/5,1/5;0/1,1/0;0/0,1/0;0/3,1/1;0/3,1/3
119.96;3;0;2;2;0/80.04,1/57.29;0/32.44,1/35.64;0/119.96,1/119.96;0/119.96,1/119.96;0/1,1/7;0/0,1/0;0/1,1/9;0/7,1/9;0/3,1/2;0/5,1/5;0/2,1/1;0/0,1/0;0/4,1/7;0/9,1/9
179.96;5;1;2;2;0/140.04,1/88.49;0/32.67,1/35.82;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/4;0/0,1/0;0/1,1/7;0/9,1/13;0/3,1/2;0/5,1/5;0/2,1/3;0/1,1/0;0/4,1/10;0/15,1/15
239.96;7;2;2;2;0/190.09,1/110.49;0/32.8,1/35.82;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/3;0/0,1/0;0/0,1/4;0/7,1/7;0/3,1/2;0/5,1/5;0/3,1/4;0/1,1/1;0/5,1/13;0/21,1/21
299.96;9;3;2;2;0/250.09,1/150.49;0/33.16,1/36.22;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/1;0/0,1/0;0/0,1/2;0/5,1/8;0/3,1/2;0/5,1/5;0/3,1/6;0/2,1/1;0/5,1/15;0/27,1/27
360;11;3;2;2;0/310.13,1/190.53;0/33.69,1/36.67;0/360,1/360;0/360,1/360;0/0,1/1;0/0,1/0;0/0,1/1;0/11,1/7;0/3,1/2;0/5,1/5;0/3,1/8;0/2,1/1;0/5,1/17;0/33,1/33
420;12;5;2;2;0/370.13,1/240.53;0/34.09,1/37.11;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/5;0/3,1/2;0/5,1/5;0/3,1/9;0/3,1/2;0/5,1/18;0/39,1/39
480;12;6;2;2;0/430.13,1/300.53;0/34.49,1/37.6;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/6;0/3,1/2;0/5,1/5;0/3,1/9;0/3,1/3;0/5,1/18;0/45,1/45
540;12;7;2;2;0/490.13,1/360.53;0/34.84,1/37.96;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/11;0/3,1/2;0/5,1/5;0/3,1/9;0/4,1/3;0/5,1/18;0/51,1/51
600;12;8;2;2;0/550.13,1/420.53;0/34.93,1/38.04;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/8;0/3,1/2;0/5,1/5;0/3,1/9;0/4,1/4;0/5,1/18;0/57,1/57
659.96;12;8;2;2;0/610.09,1/480.49;0/35.07,1/38.22;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/13;0/3,1/2;0/5,1/5;0/3,1/9;0/4,1/4;0/5,1/18;0/63,1/63
719.96;12;10;2;2;0/670.09,1/540.49;0/35.2,1/38.31;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/12;0/3,1/2;0/5,1/5;0/3,1/9;0/5,1/5;0/5,1/18;0/69,1/69
779.96;12;11;2;2;0/730.09,1/600.49;0/35.38,1/38.4;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/1;0/0,1/0;0/0,1/1;0/7,1/10;0/3,1/2;0/5,1/5;0/3,1/9;0/6,1/5;0/5,1/18;0/75,1/75
839.96;13;13;2;2;0/790.09,1/650.53;0/35.6,1/38.53;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/11;0/3,1/2;0/5,1/5;0/3,1/10;0/7,1/6;0/5,1/19;0/81,1/81
899.96;13;13;2;2;0/850.09,1/710.53;0/35.64,1/38.67;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/10;0/3,1/2;0/5,1/5;0/3,1/10;0/7,1/6;0/5,1/19;0/87,1/87
959.96;13;15;2;2;0/910.09,1/770.53;0/35.78,1/38.8;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/12;0/3,1/2;0/5,1/5;0/3,1/10;0/8,1/7;0/5,1/19;0/93,1/93
1019.96;13;16;2;2;0/970.09,1/830.53;0/35.91,1/38.89;0/1019.96,1/1019.96;0/1019.96,1/1019.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/10;0/3,1/2;0/5,1/5;0/3,1/10;0/8,1/8;0/5,1/19;0/99,1/99
