2 h · 10 seeds · 2 Pstations · 2 Rstations · 100 SKUs · 100 backlog · 100 pods / 120 cells · cap 100 · 70% stock
policy,bots,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
m4g_6b,6b,1419.9,946.1,599.1,5.338,112.3,0.1875,9.37,1.190,830.8,1.45
m5_lambda_6b,6b,1422.2,931.2,584.0,5.231,111.7,0.1913,9.40,1.203,916.9,1.30
m5_pure_6b,6b,1421.1,930.9,593.0,5.873,101.0,0.1703,9.40,1.165,890.7,1.39
m4g_10b,10b,1428.7,952.2,603.5,5.118,118.0,0.1956,10.35,1.317,787.8,0.86
m5_lambda_10b,10b,1430.3,934.2,588.1,5.081,115.8,0.1970,10.18,1.312,955.2,0.74
m5_pure_10b,10b,1428.6,937.9,593.9,5.681,104.6,0.1762,10.26,1.281,902.2,0.87

paired m5_pure_6b vs m4g_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.08,−1.61,−1.02,+10.04,−10.06,−9.17,+0.27,−2.08,+7.21,−4.11
p,.695,.006,.114,< .001,< .001,< .001,.764,.047,.024,.774
sig,,**,,***,***,***,,*,*,

paired m5_pure_10b vs m4g_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−0.01,−1.50,−1.59,+11.02,−11.36,−9.92,−0.90,−2.76,+14.52,+1.27
p,.904,.001,.014,< .001,< .001,< .001,.310,.035,.007,.831
sig,,**,*,***,***,***,,*,**,

excel cross-check: {"status": "passed", "checks": 160, "rel_tol": 1e-09}
