decision,time,botID,podNull,podID,inUsedPodsValues,inBotToPodKey,currentTaskType,destWaypointNull,isRa,podJustRegisteredCount
0,0,1,True,-1,False,False,DummyTask,True,True,-1
0,0,10,True,-1,False,False,DummyTask,True,True,-1
0,0,11,True,-1,False,False,DummyTask,True,True,-1
0,0,3,True,-1,False,False,DummyTask,True,True,-1
0,0,5,True,-1,False,False,DummyTask,True,True,-1
0,0,4,True,-1,False,False,DummyTask,True,True,-1
0,0,12,True,-1,False,False,DummyTask,True,True,-1
0,0,13,True,-1,False,False,DummyTask,True,True,-1
0,0,14,True,-1,False,False,DummyTask,True,True,-1
0,0,7,True,-1,False,False,DummyTask,True,True,-1
1,30.3999999999999,1,False,47,True,False,ExtractTask,False,False,3
1,30.3999999999999,10,False,31,True,False,ExtractTask,False,False,3
1,30.3999999999999,11,False,42,True,False,ParkPodTask,False,False,1
1,30.3999999999999,3,True,-1,False,False,RestTask,True,True,-1
1,30.3999999999999,5,True,-1,False,False,RestTask,True,True,-1
1,30.3999999999999,4,False,82,True,False,ExtractTask,False,False,2
1,30.3999999999999,12,False,2,True,False,ExtractTask,True,False,3
1,30.3999999999999,13,True,-1,False,False,RestTask,True,True,-1
1,30.3999999999999,14,False,49,True,False,ExtractTask,False,False,3
1,30.3999999999999,7,True,-1,False,False,RestTask,True,True,-1
2,39.7777777777777,1,False,47,True,False,ExtractTask,True,False,3
2,39.7777777777777,10,False,31,True,False,ExtractTask,True,False,3
2,39.7777777777777,11,True,-1,False,False,RestTask,False,True,-1
2,39.7777777777777,3,True,-1,False,False,RestTask,True,True,-1
2,39.7777777777777,5,True,-1,False,False,RestTask,True,True,-1
2,39.7777777777777,4,False,82,True,False,ExtractTask,False,False,2
2,39.7777777777777,12,False,2,True,False,ExtractTask,True,False,3
2,39.7777777777777,13,True,-1,False,False,RestTask,True,True,-1
2,39.7777777777777,14,False,49,True,False,ExtractTask,True,False,3
2,39.7777777777777,7,True,-1,False,False,RestTask,True,True,-1
3,49.8666666666665,1,False,47,True,False,ExtractTask,True,False,3
3,49.8666666666665,10,False,31,True,False,ExtractTask,True,False,3
3,49.8666666666665,11,True,-1,False,False,RestTask,True,True,-1
3,49.8666666666665,3,True,-1,False,False,RestTask,True,True,-1
3,49.8666666666665,5,True,-1,False,False,RestTask,True,True,-1
3,49.8666666666665,4,False,82,True,False,ExtractTask,True,False,2
3,49.8666666666665,12,False,2,True,False,ExtractTask,True,False,3
3,49.8666666666665,13,True,-1,False,False,RestTask,True,True,-1
3,49.8666666666665,14,False,49,True,False,ExtractTask,True,False,3
