2 h · 10 seeds · 2 Pstations · 2 Rstations · 100 SKUs · 100 backlog · 100 pods / 120 cells · cap 100 · 70% stock
policy,bots,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
ns_dyn_6b,6b,1147.3,748.1,523.2,3.083,169.8,0.3252,14.84,1.746,435.5,20.37
ns_dyn_10b,10b,1411.2,919.0,634.5,3.208,198.2,0.3125,15.06,1.804,428.8,2.05
ns_fix4p5_6b,6b,1062.2,692.7,485.8,3.534,137.9,0.2838,14.23,1.656,455.0,26.25
ns_fix6_6b,6b,1152.2,752.0,523.3,3.520,148.7,0.2843,13.98,1.643,442.5,20.02
ns_fix8_6b,6b,1197.7,780.8,543.6,3.617,150.4,0.2767,13.59,1.587,452.1,16.88
ns_fix11_6b,6b,1235.5,806.9,561.6,3.599,156.0,0.2779,13.59,1.589,438.2,14.23
ns_fix15_6b,6b,1241.4,810.1,564.1,3.657,154.4,0.2740,13.54,1.577,438.9,13.84
ns_fix20_6b,6b,1238.9,811.3,565.6,3.643,155.3,0.2748,13.66,1.586,442.2,14.03
ns_fix28_6b,6b,1249.6,816.5,569.1,3.675,154.9,0.2724,13.66,1.587,434.0,13.28
ns_fix4p5_6b_jump,6b,1062.2,692.7,485.8,3.534,137.9,0.2838,14.23,1.656,455.0,26.25
ns_fix8_6b_jump,6b,1197.7,780.8,543.6,3.617,150.4,0.2767,13.59,1.587,452.1,16.88
ns_fix15_6b_jump,6b,1241.4,810.1,564.1,3.657,154.4,0.2740,13.54,1.577,438.9,13.84
ns_fix4p5_10b,10b,1328.2,867.5,589.8,3.270,180.8,0.3063,14.66,1.783,472.3,7.82
ns_fix6_10b,10b,1389.5,905.3,609.2,3.179,191.7,0.3149,14.92,1.830,499.8,3.58
ns_fix8_10b,10b,1412.5,923.7,618.9,3.230,191.7,0.3098,14.91,1.827,524.5,1.98
ns_fix11_10b,10b,1418.1,925.2,621.9,3.225,192.9,0.3102,15.06,1.845,531.7,1.59
ns_fix15_10b,10b,1422.5,927.1,621.8,3.275,189.9,0.3054,15.07,1.844,533.1,1.28
ns_fix20_10b,10b,1422.5,928.3,623.4,3.304,188.7,0.3027,15.28,1.868,529.2,1.30
ns_fix28_10b,10b,1422.4,931.5,624.1,3.318,188.1,0.3015,15.33,1.875,537.5,1.30
ns_fix4p5_10b_jump,10b,1328.2,867.5,589.8,3.270,180.8,0.3063,14.66,1.783,472.3,7.82
ns_fix8_10b_jump,10b,1412.5,923.7,618.9,3.230,191.7,0.3098,14.91,1.827,524.5,1.98
ns_fix15_10b_jump,10b,1422.5,927.1,621.8,3.275,189.9,0.3054,15.07,1.844,533.1,1.28

paired ns_fix4p5_6b vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−7.42,−7.41,−7.15,+14.63,−18.79,−12.72,−4.07,−5.14,+4.50,+28.84
p,.034,.041,.032,< .001,< .001,< .001,.021,.003,.233,.034
sig,*,*,*,***,***,***,*,**,,*

paired ns_fix6_6b vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.43,+0.52,+0.02,+14.17,−12.43,−12.58,−5.80,−5.90,+1.61,−1.74
p,.774,.751,.991,< .001,< .001,< .001,.003,.005,.489,.765
sig,,,,***,***,***,**,**,,

paired ns_fix8_6b vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+4.39,+4.37,+3.90,+17.32,−11.43,−14.89,−8.41,−9.07,+3.81,−17.15
p,.012,.020,.047,< .001,< .001,< .001,< .001,< .001,.175,.012
sig,*,*,*,***,***,***,***,***,,*

paired ns_fix11_6b vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+7.69,+7.86,+7.34,+16.75,−8.13,−14.52,−8.39,−8.97,+0.64,−30.13
p,.001,.002,.005,< .001,< .001,< .001,.003,.002,.746,.001
sig,**,**,**,***,***,***,**,**,,**

paired ns_fix15_6b vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+8.20,+8.29,+7.82,+18.64,−9.07,−15.75,−8.72,−9.67,+0.78,−32.07
p,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,.720,< .001
sig,***,***,***,***,***,***,***,***,,***

paired ns_fix20_6b vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+7.98,+8.45,+8.10,+18.17,−8.54,−15.51,−7.93,−9.14,+1.55,−31.13
p,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,.506,< .001
sig,***,***,***,***,***,***,***,***,,***

paired ns_fix28_6b vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
