Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G,6,0,1426.0,945.0,616.0,5.500,112.0,0.1818,9.87,1.197,804.0,1.03
M4G,6,1,1412.0,925.0,580.0,5.179,112.0,0.1931,9.56,1.211,908.8,2.00
M4G,6,2,1425.0,976.0,613.0,5.425,113.0,0.1843,9.02,1.169,809.9,1.11
M4G,6,3,1410.0,940.0,599.0,5.546,108.0,0.1803,8.94,1.128,901.3,2.16
M4G,6,4,1417.0,940.0,583.0,5.159,113.0,0.1938,9.25,1.208,783.2,1.66
M4G,6,5,1418.0,929.0,587.0,5.017,117.0,0.1993,9.93,1.255,763.4,1.60
M4G,6,6,1429.0,964.0,603.0,5.532,109.0,0.1808,9.09,1.163,844.8,0.83
M4G,6,7,1414.0,937.0,603.0,5.384,112.0,0.1857,9.34,1.173,822.5,1.82
M4G,6,8,1420.0,954.0,603.0,5.289,114.0,0.1891,9.49,1.212,797.6,1.43
M4G,6,9,1428.0,951.0,604.0,5.345,113.0,0.1871,9.24,1.179,872.5,0.90
HGS-M5,6,0,1418.0,930.0,615.0,5.913,104.0,0.1691,9.66,1.157,825.8,1.59
HGS-M5,6,1,1429.0,921.0,580.0,5.859,99.0,0.1707,9.34,1.168,952.8,0.85
HGS-M5,6,2,1425.0,947.0,595.0,6.071,98.0,0.1647,9.35,1.169,908.1,1.11
HGS-M5,6,3,1423.0,935.0,601.0,5.835,103.0,0.1714,9.13,1.128,921.4,1.28
HGS-M5,6,4,1416.0,924.0,582.0,5.939,98.0,0.1684,9.20,1.156,802.8,1.78
HGS-M5,6,5,1413.0,928.0,597.0,5.686,105.0,0.1759,9.98,1.216,964.8,1.93
HGS-M5,6,6,1423.0,925.0,579.0,5.790,100.0,0.1727,9.60,1.215,975.1,1.25
HGS-M5,6,7,1425.0,938.0,603.0,6.091,99.0,0.1642,9.25,1.127,916.9,1.13
HGS-M5,6,8,1421.0,940.0,593.0,5.871,101.0,0.1703,9.17,1.151,790.2,1.43
HGS-M5,6,9,1418.0,921.0,585.0,5.680,103.0,0.1761,9.30,1.161,848.9,1.59
