Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-NS,6,0,1225.0,800.0,583.0,3.257,179.0,0.3070,14.22,1.611,420.8,14.97
M4G-NS,6,1,1133.0,725.0,496.0,2.851,174.0,0.3508,15.07,1.809,426.1,21.39
M4G-NS,6,2,1147.0,763.0,530.0,2.912,182.0,0.3434,15.66,1.854,415.9,20.35
M4G-NS,6,3,1083.0,700.0,488.0,2.958,165.0,0.3381,15.80,1.879,470.8,24.80
M4G-NS,6,4,1145.0,743.0,523.0,3.095,169.0,0.3231,14.90,1.726,416.1,20.54
M4G-NS,6,5,1168.0,757.0,526.0,3.076,171.0,0.3251,14.66,1.730,471.6,18.96
M4G-NS,6,6,1143.0,741.0,513.0,3.247,158.0,0.3080,14.33,1.700,483.3,20.72
M4G-NS,6,7,1215.0,803.0,568.0,3.341,170.0,0.2993,13.51,1.556,392.8,15.68
M4G-NS,6,8,1109.0,725.0,497.0,2.994,166.0,0.3340,15.32,1.844,435.0,23.01
M4G-NS,6,9,1105.0,724.0,508.0,3.098,164.0,0.3228,14.90,1.748,422.0,23.29
M4G,6,0,1426.0,945.0,616.0,5.500,112.0,0.1818,9.87,1.197,804.0,1.03
M4G,6,1,1412.0,925.0,580.0,5.179,112.0,0.1931,9.56,1.211,908.8,2.00
M4G,6,2,1425.0,976.0,613.0,5.425,113.0,0.1843,9.02,1.169,809.9,1.11
M4G,6,3,1410.0,940.0,599.0,5.546,108.0,0.1803,8.94,1.128,901.3,2.16
M4G,6,4,1417.0,940.0,583.0,5.159,113.0,0.1938,9.25,1.208,783.2,1.66
M4G,6,5,1418.0,929.0,587.0,5.017,117.0,0.1993,9.93,1.255,763.4,1.60
M4G,6,6,1429.0,964.0,603.0,5.532,109.0,0.1808,9.09,1.163,844.8,0.83
M4G,6,7,1414.0,937.0,603.0,5.384,112.0,0.1857,9.34,1.173,822.5,1.82
M4G,6,8,1420.0,954.0,603.0,5.289,114.0,0.1891,9.49,1.212,797.6,1.43
M4G,6,9,1428.0,951.0,604.0,5.345,113.0,0.1871,9.24,1.179,872.5,0.90
M4G-NS,10,0,1403.0,896.0,639.0,3.492,183.0,0.2864,14.57,1.700,427.2,2.64
M4G-NS,10,1,1401.0,906.0,617.0,3.070,201.0,0.3258,15.76,1.891,464.4,2.76
M4G-NS,10,2,1415.0,944.0,648.0,3.358,193.0,0.2978,14.59,1.762,439.5,1.75
M4G-NS,10,3,1416.0,911.0,628.0,3.340,188.0,0.2994,14.87,1.784,451.2,1.74
M4G-NS,10,4,1422.0,929.0,643.0,3.047,211.0,0.3281,15.61,1.869,425.3,1.29
M4G-NS,10,5,1396.0,906.0,624.0,3.044,205.0,0.3285,15.61,1.874,392.5,3.11
M4G-NS,10,6,1422.0,928.0,635.0,3.024,210.0,0.3307,15.23,1.832,433.6,1.31
M4G-NS,10,7,1420.0,936.0,652.0,3.361,194.0,0.2975,14.26,1.700,382.2,1.44
M4G-NS,10,8,1414.0,929.0,633.0,3.165,200.0,0.3160,14.87,1.805,470.8,1.84
M4G-NS,10,9,1403.0,905.0,626.0,3.178,197.0,0.3147,15.21,1.819,400.8,2.64
M4G,10,0,1424.0,944.0,620.0,5.082,122.0,0.1968,10.59,1.299,795.7,1.19
M4G,10,1,1430.0,935.0,584.0,4.908,119.0,0.2038,10.34,1.335,833.8,0.72
M4G,10,2,1430.0,987.0,617.0,5.099,121.0,0.1961,10.14,1.310,762.4,0.73
M4G,10,3,1428.0,940.0,607.0,5.188,117.0,0.1928,10.42,1.313,766.5,0.89
M4G,10,4,1431.0,950.0,597.0,5.017,119.0,0.1993,10.68,1.367,772.0,0.70
M4G,10,5,1430.0,953.0,600.0,4.878,123.0,0.2050,10.73,1.354,782.0,0.81
M4G,10,6,1428.0,966.0,606.0,5.179,117.0,0.1931,10.00,1.292,772.0,0.94
M4G,10,7,1431.0,958.0,611.0,5.360,114.0,0.1866,9.96,1.266,879.7,0.70
M4G,10,8,1429.0,958.0,601.0,5.226,115.0,0.1913,10.17,1.318,741.8,0.88
M4G,10,9,1426.0,931.0,592.0,5.239,113.0,0.1909,10.46,1.317,771.8,1.00
