2 h · 10 seeds · 12 Pstations · 6 Rstations · 1000 SKUs · 200 backlog · 1203 pods / 1352 cells · cap 500 · 70% stock
policy,bots,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
m5_45b,45b,8318.2,5396.9,3385.3,7.625,444.1,0.1312,20.45,3.601,395.2,3.79
m5_n2_45b,45b,4431.8,2876.1,1846.7,6.797,271.9,0.1472,28.05,4.838,452.3,48.71
m5_n3_45b,45b,6250.6,4049.2,2542.3,7.680,331.2,0.1303,22.40,3.950,471.7,27.70
m5_n4_45b,45b,8266.6,5360.6,3360.4,7.613,441.5,0.1314,20.50,3.611,395.4,4.39

paired m5_n2_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−46.72,−46.71,−45.45,−10.85,−38.78,+12.23,+37.19,+34.35,+14.47,+1185.91
p,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001
sig,***,***,***,***,***,***,***,***,***,***

paired m5_n3_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−24.86,−24.97,−24.90,+0.73,−25.42,−0.67,+9.54,+9.71,+19.37,+631.22
p,< .001,< .001,< .001,.437,< .001,.476,< .001,< .001,< .001,< .001
sig,***,***,***,,***,,***,***,***,***

paired m5_n4_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−0.62,−0.67,−0.74,−0.16,−0.59,+0.15,+0.25,+0.29,+0.07,+15.89
p,.034,.030,.029,.786,.212,.785,.402,.348,.749,.032
sig,*,*,*,,,,,,,*

excel cross-check: {"status": "passed", "checks": 140, "rel_tol": 1e-09}
