2 h · 10 seeds · 12 Pstations · 6 Rstations · 1000 SKUs · 200 backlog · 1203 pods / 1352 cells · cap 500 · 70% stock
policy,bots,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
m5_45b,45b,8318.2,5396.9,3385.3,7.625,444.1,0.1312,20.45,3.601,395.2,3.79
m5_n2_45b,45b,8376.2,5434.1,3476.4,5.065,687.4,0.1978,25.37,4.359,358.4,3.12
m5_n3_45b,45b,8296.6,5382.4,3386.9,6.986,484.9,0.1432,21.34,3.725,398.4,4.04
m5_n4_45b,45b,8317.1,5399.7,3385.0,7.608,445.0,0.1315,20.33,3.587,394.3,3.80

paired m5_n2_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.70,+0.69,+2.69,−33.57,+54.78,+50.75,+24.05,+21.04,−9.31,−17.56
p,< .001,.004,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001
sig,***,**,***,***,***,***,***,***,***,***

paired m5_n3_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−0.26,−0.27,+0.05,−8.38,+9.19,+9.13,+4.35,+3.46,+0.81,+6.72
p,.100,.211,.892,< .001,< .001,< .001,< .001,< .001,.517,.097
sig,,,,***,***,***,***,***,,

paired m5_n4_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−0.01,+0.05,−0.01,−0.22,+0.20,+0.22,−0.58,−0.38,−0.22,+0.44
p,.792,.438,.894,.652,.669,.657,.081,.150,.470,.748
sig,,,,,,,,,,

excel cross-check: {"status": "passed", "checks": 140, "rel_tol": 1e-09}
